,sentences,narration_is_0_dialogue_is_1,sentence_length,all_pos_counts,parts_of_speech_total_count,POS_ADP_count,POS_DET_count,POS_ADJ_count,POS_CCONJ_count,POS_ADV_count,POS_NOUN_count,POS_PRON_count,POS_VERB_count,POS_PROPN_count,POS_PUNCT_count,POS_AUX_count,POS_NUM_count,POS_PART_count,POS_SCONJ_count,POS_INTJ_count,POS_X_count,POS_SYM_count,%POS_ADP_count,%POS_DET_count,%POS_ADJ_count,%POS_CCONJ_count,%POS_ADV_count,%POS_NOUN_count,%POS_PRON_count,%POS_VERB_count,%POS_PROPN_count,%POS_PUNCT_count,%POS_AUX_count,%POS_NUM_count,%POS_PART_count,%POS_SCONJ_count,%POS_INTJ_count,%POS_X_count,%POS_SYM_count
12,"The young lady, their daughter, seemed to Graye by far the most beautiful and queenly being he had ever beheld.",0,20,"[['DET', 2], ['ADJ', 3], ['NOUN', 2], ['PUNCT', 3], ['PRON', 2], ['VERB', 1], ['ADP', 2], ['PROPN', 1], ['ADV', 4], ['CCONJ', 1], ['AUX', 2]]",23,2.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.696,8.696,13.043,4.348,17.391,8.696,8.696,4.348,4.348,13.043,8.696,0.0,0.0,0.0,0.0,0.0,0.0
13,"She was about nineteen or twenty, and her name was Cytherea.",0,11,"[['PRON', 2], ['AUX', 2], ['ADV', 1], ['NUM', 2], ['CCONJ', 2], ['PUNCT', 2], ['NOUN', 1], ['PROPN', 1]]",13,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,7.692,7.692,15.385,0.0,7.692,15.385,15.385,15.385,0.0,0.0,0.0,0.0,0.0
14,"In truth she was not so very unlike country girls of that type of beauty, except in one respect.",0,19,"[['ADP', 5], ['NOUN', 6], ['PRON', 1], ['AUX', 1], ['PART', 1], ['ADV', 2], ['DET', 1], ['PUNCT', 2], ['SCONJ', 1], ['NUM', 1]]",21,5.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23.81,4.762,0.0,0.0,9.524,28.571,4.762,0.0,0.0,9.524,4.762,4.762,4.762,4.762,0.0,0.0,0.0
15,"She was perfect in her manner and bearing, and they were not.",0,12,"[['PRON', 3], ['AUX', 2], ['ADJ', 1], ['ADP', 1], ['NOUN', 2], ['CCONJ', 2], ['PUNCT', 2], ['PART', 1]]",14,1.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.143,0.0,7.143,14.286,0.0,14.286,21.429,0.0,0.0,14.286,14.286,0.0,7.143,0.0,0.0,0.0,0.0
16,"A mere distinguishing peculiarity, by catching the eye, is often read as the pervading characteristic, and she appeared to him no less than perfection throughout -- transcending her rural rivals in very nature.",0,33,"[['DET', 3], ['ADJ', 4], ['NOUN', 7], ['PUNCT', 5], ['ADP', 5], ['VERB', 5], ['AUX', 1], ['ADV', 2], ['CCONJ', 1], ['PRON', 4]]",37,5.0,3.0,4.0,1.0,2.0,7.0,4.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.514,8.108,10.811,2.703,5.405,18.919,10.811,13.514,0.0,13.514,2.703,0.0,0.0,0.0,0.0,0.0,0.0
17,Graye did a thing the blissfulness of which was only eclipsed by its hazardousness.,0,14,"[['PROPN', 1], ['VERB', 2], ['DET', 2], ['NOUN', 3], ['ADP', 2], ['PRON', 2], ['AUX', 1], ['ADV', 1], ['PUNCT', 1]]",15,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333,13.333,0.0,0.0,6.667,20.0,13.333,13.333,6.667,6.667,6.667,0.0,0.0,0.0,0.0,0.0,0.0
18,He loved her at first sight.,0,6,"[['PRON', 2], ['VERB', 1], ['ADP', 1], ['ADJ', 1], ['NOUN', 1], ['PUNCT', 1]]",7,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,14.286,0.0,0.0,14.286,28.571,14.286,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"His introductions had led him into contact with Cytherea and her parents two or three times on the first week of his arrival in London, and accident and a lover’s contrivance brought them together as frequently the week following.",0,39,"[['PRON', 5], ['NOUN', 9], ['AUX', 1], ['VERB', 3], ['ADP', 5], ['PROPN', 3], ['CCONJ', 4], ['NUM', 2], ['DET', 3], ['ADJ', 1], ['PUNCT', 2], ['PART', 1], ['ADV', 3]]",42,5.0,3.0,1.0,4.0,3.0,9.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.905,7.143,2.381,9.524,7.143,21.429,11.905,7.143,7.143,4.762,2.381,4.762,2.381,0.0,0.0,0.0,0.0
20,"The parents liked young Graye, and having few friends (for their equals in blood were their superiors in position), he was received on very generous terms.",0,26,"[['DET', 1], ['NOUN', 7], ['VERB', 3], ['ADJ', 3], ['PROPN', 1], ['PUNCT', 5], ['CCONJ', 1], ['ADP', 4], ['PRON', 3], ['AUX', 2], ['ADV', 1]]",31,4.0,1.0,3.0,1.0,1.0,7.0,3.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.903,3.226,9.677,3.226,3.226,22.581,9.677,9.677,3.226,16.129,6.452,0.0,0.0,0.0,0.0,0.0,0.0
21,"His passion for Cytherea grew not only strong, but ineffably exalted: she, without positively encouraging him, tacitly assented to his schemes for being near her.",0,25,"[['PRON', 5], ['NOUN', 2], ['ADP', 5], ['PROPN', 1], ['VERB', 4], ['PART', 1], ['ADV', 4], ['ADJ', 1], ['PUNCT', 5], ['CCONJ', 1], ['AUX', 1]]",30,5.0,0.0,1.0,1.0,4.0,2.0,5.0,4.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.667,0.0,3.333,3.333,13.333,6.667,16.667,13.333,3.333,16.667,3.333,0.0,3.333,0.0,0.0,0.0,0.0
22,"Her father and mother seemed to have lost all confidence in nobility of birth, without money to give effect to its presence, and looked upon the budding consequence of the young people’s reciprocal glances with placidity, if not actual favour.",0,40,"[['PRON', 2], ['NOUN', 13], ['CCONJ', 2], ['VERB', 5], ['PART', 4], ['AUX', 1], ['DET', 3], ['ADP', 6], ['PUNCT', 4], ['SCONJ', 2], ['ADJ', 3]]",45,6.0,3.0,3.0,2.0,0.0,13.0,2.0,5.0,0.0,4.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,13.333,6.667,6.667,4.444,0.0,28.889,4.444,11.111,0.0,8.889,2.222,0.0,8.889,4.444,0.0,0.0,0.0
23,Graye’s whole impassioned dream terminated in a sad and unaccountable episode.,0,11,"[['PROPN', 1], ['PART', 1], ['ADJ', 4], ['NOUN', 2], ['VERB', 1], ['ADP', 1], ['DET', 1], ['CCONJ', 1], ['PUNCT', 1]]",13,1.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.692,7.692,30.769,7.692,0.0,15.385,0.0,7.692,7.692,7.692,0.0,0.0,7.692,0.0,0.0,0.0,0.0
24,"After passing through three weeks of sweet experience, he had arrived at the last stage -- a kind of moral Gaza -- before plunging into an emotional desert.",0,28,"[['ADP', 7], ['VERB', 3], ['NUM', 1], ['NOUN', 5], ['ADJ', 4], ['PUNCT', 4], ['PRON', 1], ['AUX', 1], ['DET', 3], ['PROPN', 1]]",30,7.0,3.0,4.0,0.0,0.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.333,10.0,13.333,0.0,0.0,16.667,3.333,10.0,3.333,13.333,3.333,3.333,0.0,0.0,0.0,0.0,0.0
25,"The second week in January had come round, and it was necessary for the young architect to leave town.",0,19,"[['DET', 2], ['ADJ', 3], ['NOUN', 3], ['ADP', 1], ['PROPN', 1], ['AUX', 2], ['VERB', 2], ['ADV', 1], ['PUNCT', 2], ['CCONJ', 1], ['PRON', 1], ['SCONJ', 1], ['PART', 1]]",21,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.762,9.524,14.286,4.762,4.762,14.286,4.762,9.524,4.762,9.524,9.524,0.0,4.762,4.762,0.0,0.0,0.0
26,"Throughout his acquaintanceship with the lady of his heart there had been this marked peculiarity in her love: she had delighted in his presence as a sweetheart should do, yet from first to last she had repressed all recognition of the true nature of the thread which drew them together, blinding herself to its meaning and only natural tendency, and appearing to dread his announcement of them.",0,67,"[['ADP', 10], ['PRON', 12], ['NOUN', 13], ['DET', 6], ['ADV', 4], ['AUX', 5], ['VERB', 8], ['PUNCT', 5], ['SCONJ', 1], ['PART', 2], ['ADJ', 4], ['CCONJ', 2]]",72,10.0,6.0,4.0,2.0,4.0,13.0,12.0,8.0,0.0,5.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,13.889,8.333,5.556,2.778,5.556,18.056,16.667,11.111,0.0,6.944,6.944,0.0,2.778,1.389,0.0,0.0,0.0
27,"The present seemed enough for her without cumulative hope: usually, even if love is in itself an end, it must be regarded as a beginning to be enjoyed.",0,28,"[['DET', 3], ['NOUN', 5], ['VERB', 3], ['ADJ', 2], ['ADP', 4], ['PRON', 3], ['PUNCT', 4], ['ADV', 2], ['SCONJ', 1], ['AUX', 4], ['PART', 1]]",32,4.0,3.0,2.0,0.0,2.0,5.0,3.0,3.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,12.5,9.375,6.25,0.0,6.25,15.625,9.375,9.375,0.0,12.5,12.5,0.0,3.125,3.125,0.0,0.0,0.0
28,"In spite of evasions as an obstacle, and in consequence of them as a spur, he would put the matter off no longer.",0,23,"[['ADP', 7], ['NOUN', 6], ['DET', 3], ['PUNCT', 3], ['CCONJ', 1], ['PRON', 2], ['AUX', 1], ['VERB', 1], ['ADV', 2]]",26,7.0,3.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.923,11.538,0.0,3.846,7.692,23.077,7.692,3.846,0.0,11.538,3.846,0.0,0.0,0.0,0.0,0.0,0.0
29,It was evening.,0,3,"[['PRON', 1], ['AUX', 1], ['NOUN', 1], ['PUNCT', 1]]",4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"He took her into a little conservatory on the landing, and there among the evergreens, by the light of a few tiny lamps, infinitely enhancing the freshness and beauty of the leaves, he made the declaration of a love as fresh and beautiful as they.",0,45,"[['PRON', 4], ['VERB', 3], ['ADP', 9], ['DET', 9], ['ADJ', 5], ['NOUN', 10], ['PUNCT', 5], ['CCONJ', 3], ['ADV', 2]]",50,9.0,9.0,5.0,3.0,2.0,10.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,10.0,6.0,4.0,20.0,8.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"‘My love -- my darling, be my wife!’ She seemed like one just awakened.",0,14,"[['PUNCT', 6], ['PRON', 4], ['NOUN', 3], ['AUX', 1], ['VERB', 1], ['INTJ', 1], ['NUM', 1], ['ADV', 1], ['ADJ', 1]]",19,0.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.263,0.0,5.263,15.789,21.053,5.263,0.0,31.579,5.263,5.263,0.0,0.0,5.263,0.0,0.0
32,"‘Ah -- we must part now!’ she faltered, in a voice of anguish.",0,13,"[['PUNCT', 6], ['INTJ', 1], ['PRON', 2], ['AUX', 1], ['VERB', 2], ['ADV', 1], ['ADP', 2], ['DET', 1], ['NOUN', 2]]",18,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.111,5.556,0.0,0.0,5.556,11.111,11.111,11.111,0.0,33.333,5.556,0.0,0.0,0.0,5.556,0.0,0.0
33,‘I will write to you.’ She loosened her hand and rushed away.,0,12,"[['PUNCT', 4], ['PRON', 4], ['AUX', 1], ['VERB', 3], ['ADP', 1], ['NOUN', 1], ['CCONJ', 1], ['ADV', 1]]",16,1.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,6.25,6.25,6.25,25.0,18.75,0.0,25.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
34,In a wild fever Graye went home and watched for the next morning.,0,13,"[['ADP', 2], ['DET', 2], ['ADJ', 2], ['NOUN', 2], ['PROPN', 1], ['VERB', 2], ['ADV', 1], ['CCONJ', 1], ['PUNCT', 1]]",14,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.286,14.286,7.143,7.143,14.286,0.0,14.286,7.143,7.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Who shall express his misery and wonder when a note containing these words was put into his hand?,0,18,"[['PRON', 3], ['AUX', 2], ['VERB', 4], ['NOUN', 4], ['CCONJ', 1], ['SCONJ', 1], ['DET', 2], ['ADP', 1], ['PUNCT', 1]]",19,1.0,2.0,0.0,1.0,0.0,4.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.263,10.526,0.0,5.263,0.0,21.053,15.789,21.053,0.0,5.263,10.526,0.0,0.0,5.263,0.0,0.0,0.0
36,‘Good-bye; good-bye for ever.,0,4,"[['PUNCT', 4], ['ADJ', 2], ['NOUN', 1], ['INTJ', 2], ['ADP', 1], ['ADV', 1]]",11,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.091,0.0,18.182,0.0,9.091,9.091,0.0,0.0,0.0,36.364,0.0,0.0,0.0,0.0,18.182,0.0,0.0
37,As recognized lovers something divides us eternally.,0,7,"[['SCONJ', 1], ['VERB', 2], ['NOUN', 1], ['PRON', 2], ['ADV', 1], ['PUNCT', 1]]",8,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,25.0,25.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0
38,Forgive me -- I should have told you before; but your love was sweet!,0,14,"[['VERB', 2], ['PRON', 4], ['PUNCT', 3], ['AUX', 3], ['ADV', 1], ['CCONJ', 1], ['NOUN', 1], ['ADJ', 1]]",16,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,6.25,6.25,25.0,12.5,0.0,18.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0
39,"Never mention me.’ That very day, and as it seemed, to put an end to a painful condition of things, daughter and parents left London to pay off a promised visit to a relative in a western county.",0,38,"[['ADV', 1], ['VERB', 6], ['PRON', 2], ['PUNCT', 6], ['DET', 6], ['ADJ', 3], ['NOUN', 9], ['CCONJ', 2], ['SCONJ', 1], ['PART', 2], ['ADP', 5], ['PROPN', 1]]",44,5.0,6.0,3.0,2.0,1.0,9.0,2.0,6.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.364,13.636,6.818,4.545,2.273,20.455,4.545,13.636,2.273,13.636,0.0,0.0,4.545,2.273,0.0,0.0,0.0
40,No message or letter of entreaty could wring from her any explanation.,0,12,"[['DET', 2], ['NOUN', 4], ['CCONJ', 1], ['ADP', 2], ['AUX', 1], ['VERB', 1], ['PRON', 1], ['PUNCT', 1]]",13,2.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,15.385,0.0,7.692,0.0,30.769,7.692,7.692,0.0,7.692,7.692,0.0,0.0,0.0,0.0,0.0,0.0
41,"She begged him not to follow her, and the most bewildering point was that her father and mother appeared, from the tone of a letter Graye received from them, as vexed and sad as he at this sudden renunciation.",0,39,"[['PRON', 6], ['VERB', 4], ['PART', 2], ['PUNCT', 4], ['CCONJ', 3], ['DET', 4], ['ADV', 1], ['ADJ', 4], ['NOUN', 6], ['AUX', 1], ['SCONJ', 2], ['ADP', 5], ['PROPN', 1]]",43,5.0,4.0,4.0,3.0,1.0,6.0,6.0,4.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,11.628,9.302,9.302,6.977,2.326,13.953,13.953,9.302,2.326,9.302,2.326,0.0,4.651,4.651,0.0,0.0,0.0
42,"One thing was plain: without admitting her reason as valid, they knew what that reason was, and did not intend to reveal it.",0,23,"[['NUM', 1], ['NOUN', 3], ['AUX', 3], ['ADJ', 2], ['PUNCT', 4], ['ADP', 2], ['VERB', 4], ['PRON', 4], ['DET', 1], ['CCONJ', 1], ['PART', 2]]",27,2.0,1.0,2.0,1.0,0.0,3.0,4.0,4.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,7.407,3.704,7.407,3.704,0.0,11.111,14.815,14.815,0.0,14.815,11.111,3.704,7.407,0.0,0.0,0.0,0.0
43,A week from that day Ambrose Graye left his friend Huntway’s house and saw no more of the Love he mourned.,0,21,"[['DET', 4], ['NOUN', 4], ['ADP', 2], ['PROPN', 4], ['VERB', 3], ['PRON', 2], ['PART', 1], ['CCONJ', 1], ['ADJ', 1], ['PUNCT', 1]]",23,2.0,4.0,1.0,1.0,0.0,4.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.696,17.391,4.348,4.348,0.0,17.391,8.696,13.043,17.391,4.348,0.0,0.0,4.348,0.0,0.0,0.0,0.0
44,From time to time his friend answered any inquiry Graye made by letter respecting her.,0,15,"[['ADP', 2], ['NOUN', 5], ['PART', 1], ['PRON', 2], ['VERB', 3], ['DET', 1], ['PROPN', 1], ['PUNCT', 1]]",16,2.0,1.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.5,6.25,0.0,0.0,0.0,31.25,12.5,18.75,6.25,6.25,0.0,0.0,6.25,0.0,0.0,0.0,0.0
45,But very poor food to a lover is intelligence of a mistress filtered through a friend.,0,16,"[['CCONJ', 1], ['ADV', 1], ['ADJ', 1], ['NOUN', 5], ['ADP', 3], ['DET', 3], ['AUX', 1], ['VERB', 1], ['PUNCT', 1]]",17,3.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.647,17.647,5.882,5.882,5.882,29.412,0.0,5.882,0.0,5.882,5.882,0.0,0.0,0.0,0.0,0.0,0.0
46,Huntway could tell nothing definitely.,0,5,"[['PROPN', 1], ['AUX', 1], ['VERB', 1], ['PRON', 1], ['ADV', 1], ['PUNCT', 1]]",6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,0.0,16.667,16.667,16.667,16.667,16.667,0.0,0.0,0.0,0.0,0.0,0.0
47,"He said he believed there had been some prior flirtation between Cytherea and her cousin, an officer of the line, two or three years before Graye met her, which had suddenly been terminated by the cousin’s departure for India, and the young lady’s travelling on the Continent with her parents the whole of the ensuing summer, on account of delicate health.",0,61,"[['PRON', 7], ['VERB', 6], ['AUX', 4], ['DET', 8], ['ADJ', 3], ['NOUN', 13], ['ADP', 9], ['PROPN', 4], ['CCONJ', 3], ['PUNCT', 6], ['NUM', 2], ['SCONJ', 1], ['ADV', 1], ['PART', 2]]",69,9.0,8.0,3.0,3.0,1.0,13.0,7.0,6.0,4.0,6.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,13.043,11.594,4.348,4.348,1.449,18.841,10.145,8.696,5.797,8.696,5.797,2.899,2.899,1.449,0.0,0.0,0.0
48,Eventually Huntway said that circumstances had rendered Graye’s attachment more hopeless still.,0,12,"[['ADV', 3], ['PROPN', 2], ['VERB', 2], ['SCONJ', 1], ['NOUN', 2], ['AUX', 1], ['PART', 1], ['ADJ', 1], ['PUNCT', 1]]",14,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.143,0.0,21.429,14.286,0.0,14.286,14.286,7.143,7.143,0.0,7.143,7.143,0.0,0.0,0.0
